config,dtype,n_row,n_col,b_acc,source,t_decode,t_bitline,t_senseamp,t_mux,t_total,e_bitline,e_periph,e_total
gaincell_100Mb,SRAM,256,256,64,destiny,125.9010,88.1830,2.6560,6.4960,223.2360,1076.0000,273.0000,1349.0000
gaincell_100Mb,SRAM,256,256,64,model,177.4490,119.5335,50.0000,7.0000,353.9825,1950.7200,277.0000,2227.7200
gaincell_100Mb,SRAM,512,256,64,destiny,135.7100,145.6680,2.6560,6.4960,290.5300,2147.0000,273.0000,2420.0000
gaincell_100Mb,SRAM,512,256,64,model,197.4490,218.0024,50.0000,7.0000,472.4514,3261.4400,277.0000,3538.4400
gaincell_100Mb,SRAM,512,1024,64,destiny,282.9840,272.0700,2.6560,13.7350,571.4450,8592.0000,846.0000,9438.0000
gaincell_100Mb,SRAM,512,1024,64,model,336.3034,388.2862,50.0000,7.0000,781.5895,13045.7600,853.0000,13898.7600
gaincell_100Mb,SRAM,1024,1024,64,destiny,290.4770,417.2210,2.6560,13.7350,724.0890,17161.0000,846.0000,18007.0000
gaincell_100Mb,SRAM,1024,1024,64,model,356.3034,638.4590,50.0000,7.0000,1051.7624,23531.5200,853.0000,24384.5200
gaincell_100Mb,SRAM,2048,1024,64,destiny,302.3290,691.0270,2.6560,13.7350,1009.7470,34301.0000,846.0000,35147.0000
gaincell_100Mb,SRAM,2048,1024,64,model,376.3034,1174.3199,50.0000,7.0000,1607.6233,44503.0400,853.0000,45356.0400
nvm_100Mb,memristor,256,256,64,destiny,357.5360,9.7360,1454.0000,23.4310,1844.7400,16.0000,9849.0000,9865.0000
nvm_100Mb,memristor,256,256,64,model,177.4490,3540.6874,600.0000,7.0000,4325.1364,3593.3590,32277.0000,35870.3590
nvm_100Mb,memristor,512,256,64,destiny,382.9100,38.9420,1454.0000,23.4310,1899.3510,16.0000,9849.0000,9865.0000
nvm_100Mb,memristor,512,256,64,model,197.4490,7771.0732,600.0000,7.0000,8575.5222,6007.7945,32277.0000,38284.7945
nvm_100Mb,memristor,512,1024,64,destiny,764.9270,38.9420,1454.0000,48.4300,2306.6490,15.0000,10407.0000,10422.0000
nvm_100Mb,memristor,512,1024,64,model,336.3034,8042.7875,600.0000,7.0000,8986.0908,24031.1780,32853.0000,56884.1780
nvm_100Mb,memristor,1024,1024,64,destiny,781.4850,155.7410,1454.0000,48.4300,2439.7090,16.0000,10407.0000,10423.0000
nvm_100Mb,memristor,1024,1024,64,model,356.3034,18679.8210,600.0000,7.0000,19643.1244,43346.6617,32853.0000,76199.6617
nvm_100Mb,memristor,2048,1024,64,destiny,814.7060,622.7650,1454.0000,48.4300,2940.0480,19.0000,10407.0000,10426.0000
nvm_100Mb,memristor,2048,1024,64,model,376.3034,48640.5521,600.0000,7.0000,49623.8555,81977.6292,32853.0000,114830.6292
sram_16nm,SRAM,256,256,64,destiny,135.0590,112.7800,2.6560,6.4960,256.9910,1397.0000,293.0000,1690.0000
sram_16nm,SRAM,256,256,64,model,177.4490,119.5335,50.0000,7.0000,353.9825,1950.7200,277.0000,2227.7200
sram_16nm,SRAM,512,256,64,destiny,145.6950,188.4660,2.6560,6.4960,343.3140,2789.0000,293.0000,3082.0000
sram_16nm,SRAM,512,256,64,model,197.4490,218.0024,50.0000,7.0000,472.4514,3261.4400,277.0000,3538.4400
sram_16nm,SRAM,256,1024,64,destiny,354.2580,255.4780,2.6560,13.7350,626.1270,5590.0000,915.0000,6505.0000
sram_16nm,SRAM,256,1024,64,model,316.3034,253.1165,50.0000,7.0000,626.4198,7802.8800,853.0000,8655.8800
sram_16nm,SRAM,512,1024,64,destiny,364.7720,372.9450,2.6560,13.7350,754.1080,11158.0000,915.0000,12073.0000
sram_16nm,SRAM,512,1024,64,model,336.3034,388.2862,50.0000,7.0000,781.5895,13045.7600,853.0000,13898.7600
sram_16nm,SRAM,1024,1024,64,destiny,372.1160,573.3480,2.6560,13.7350,961.8550,22294.0000,915.0000,23209.0000
sram_16nm,SRAM,1024,1024,64,model,356.3034,638.4590,50.0000,7.0000,1051.7624,23531.5200,853.0000,24384.5200
sram_16nm,SRAM,2048,1024,64,destiny,387.0600,955.3810,2.6560,13.7350,1358.7010,44566.0000,915.0000,45481.0000
sram_16nm,SRAM,2048,1024,64,model,376.3034,1174.3199,50.0000,7.0000,1607.6233,44503.0400,853.0000,45356.0400
sttmram_16nm,MRAM,256,256,64,destiny,140.5310,2.3560,1454.0000,3.4030,1600.4860,4359.0000,9905.0000,14264.0000
sttmram_16nm,MRAM,256,256,64,model,177.4490,2754.6893,5000.0000,7.0000,7939.1383,3593.3590,32277.0000,35870.3590
sttmram_16nm,MRAM,512,256,64,destiny,146.8820,9.2800,1454.0000,3.4030,1613.6370,4366.0000,9905.0000,14271.0000
sttmram_16nm,MRAM,512,256,64,model,197.4490,6199.1552,5000.0000,7.0000,11403.6042,6007.7945,32277.0000,38284.7945
sttmram_16nm,MRAM,1024,256,64,destiny,149.7250,36.0430,1454.0000,3.4030,1643.1200,4386.0000,9905.0000,14291.0000
sttmram_16nm,MRAM,1024,256,64,model,217.4490,15260.8917,5000.0000,7.0000,20485.3406,10836.6654,32277.0000,43113.6654
sttmram_16nm,MRAM,1024,1024,64,destiny,377.5040,36.0430,1454.0000,9.3050,1876.8560,4478.0000,10574.0000,15052.0000
sttmram_16nm,MRAM,1024,1024,64,model,356.3034,15535.4955,5000.0000,7.0000,20898.7989,43346.6617,32853.0000,76199.6617
sotmram_16nm,MRAM,256,256,64,destiny,140.5310,2.3560,1454.0000,3.4030,1600.4860,4359.0000,9905.0000,14264.0000
sotmram_16nm,MRAM,256,256,64,model,177.4490,2283.0742,4000.0000,7.0000,6467.5232,3593.3590,32277.0000,35870.3590
sotmram_16nm,MRAM,512,256,64,destiny,146.8820,9.2800,1454.0000,3.4030,1613.6370,4366.0000,9905.0000,14271.0000
sotmram_16nm,MRAM,512,256,64,model,197.4490,5255.9988,4000.0000,7.0000,9460.4477,6007.7945,32277.0000,38284.7945
sotmram_16nm,MRAM,1024,256,64,destiny,149.7250,36.0430,1454.0000,3.4030,1643.1200,4386.0000,9905.0000,14291.0000
sotmram_16nm,MRAM,1024,256,64,model,217.4490,13374.6083,4000.0000,7.0000,17599.0573,10836.6654,32277.0000,43113.6654
sotmram_16nm,MRAM,1024,1024,64,destiny,377.5040,36.0430,1454.0000,9.3050,1876.8560,4478.0000,10574.0000,15052.0000
sotmram_16nm,MRAM,1024,1024,64,model,356.3034,13648.7832,4000.0000,7.0000,18012.0866,43346.6617,32853.0000,76199.6617
reram_16nm,memristor,256,256,64,destiny,330.7170,4.0170,1454.0000,23.4310,1811.6840,16.0000,9805.0000,9821.0000
reram_16nm,memristor,256,256,64,model,177.4490,3540.6874,300.0000,50.0000,4068.1364,3593.3590,32277.0000,35870.3590
reram_16nm,memristor,256,1024,64,destiny,463.4350,4.0170,1454.0000,48.4300,1969.5020,16.0000,10249.0000,10265.0000
reram_16nm,memristor,256,1024,64,model,316.3034,3805.7509,300.0000,50.0000,4472.0543,14373.4361,32853.0000,47226.4361
reram_16nm,memristor,512,1024,64,destiny,482.4880,16.0680,1454.0000,48.4300,2001.2880,16.0000,10249.0000,10265.0000
reram_16nm,memristor,512,1024,64,model,336.3034,8042.7875,300.0000,50.0000,8729.0908,24031.1780,32853.0000,56884.1780
reram_16nm,memristor,1024,1024,64,destiny,488.8280,64.2670,1454.0000,48.4300,2055.2140,17.0000,10249.0000,10266.0000
reram_16nm,memristor,1024,1024,64,model,356.3034,18679.8210,300.0000,50.0000,19386.1244,43346.6617,32853.0000,76199.6617
reram_16nm,memristor,2048,1024,64,destiny,503.2720,257.0420,1454.0000,48.4300,2263.0750,19.0000,10249.0000,10268.0000
reram_16nm,memristor,2048,1024,64,model,376.3034,48640.5521,300.0000,50.0000,49366.8555,81977.6292,32853.0000,114830.6292
pcram_16nm,PCRAM,256,256,64,destiny,117.6340,81.8750,2.6560,1.5080,213.8420,1026.0000,406.0000,1432.0000
pcram_16nm,PCRAM,256,256,64,model,177.4490,727.8668,2000.0000,7.0000,2912.3158,1950.7200,277.0000,2227.7200
pcram_16nm,PCRAM,512,256,64,destiny,125.0780,148.7170,2.6560,1.5080,288.1800,1997.0000,406.0000,2403.0000
pcram_16nm,PCRAM,512,256,64,model,197.4490,1428.7105,2000.0000,7.0000,3633.1595,3261.4400,277.0000,3538.4400
pcram_16nm,PCRAM,1024,256,64,destiny,128.6780,287.0680,2.6560,1.5080,430.1960,3939.0000,406.0000,4345.0000
pcram_16nm,PCRAM,1024,256,64,model,217.4490,2849.6766,2000.0000,7.0000,5074.1256,5882.8800,277.0000,6159.8800
pcram_16nm,PCRAM,1024,1024,64,destiny,245.8480,321.3310,2.6560,4.9290,715.7650,15719.0000,1338.0000,17057.0000
pcram_16nm,PCRAM,1024,1024,64,model,356.3034,3111.9372,2000.0000,7.0000,5475.2406,23531.5200,853.0000,24384.5200
fefet_16nm,SRAM,256,256,64,destiny,110.4930,52.9980,2.6560,6.4960,172.6420,586.0000,240.0000,826.0000
fefet_16nm,SRAM,256,256,64,model,177.4490,119.5335,50.0000,7.0000,353.9825,1950.7200,277.0000,2227.7200
fefet_16nm,SRAM,512,256,64,destiny,118.6700,84.2220,2.6560,6.4960,212.0430,1167.0000,240.0000,1407.0000
fefet_16nm,SRAM,512,256,64,model,197.4490,218.0024,50.0000,7.0000,472.4514,3261.4400,277.0000,3538.4400
fefet_16nm,SRAM,512,1024,64,destiny,186.0270,137.9610,2.6560,13.7350,340.3800,4668.0000,741.0000,5409.0000
fefet_16nm,SRAM,512,1024,64,model,336.3034,388.2862,50.0000,7.0000,781.5895,13045.7600,853.0000,13898.7600
fefet_16nm,SRAM,1024,1024,64,destiny,189.7500,209.6200,2.6560,13.7350,415.7610,9314.0000,741.0000,10055.0000
fefet_16nm,SRAM,1024,1024,64,model,356.3034,638.4590,50.0000,7.0000,1051.7624,23531.5200,853.0000,24384.5200
fefet_16nm,SRAM,2048,1024,64,destiny,197.1360,342.0970,2.6560,13.7350,555.6240,18606.0000,741.0000,19347.0000
fefet_16nm,SRAM,2048,1024,64,model,376.3034,1174.3199,50.0000,7.0000,1607.6233,44503.0400,853.0000,45356.0400
